platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
CHEV-S15-19P-CC-70,Chevy Silverado 1500 Standard Tailgate (2019–present),Chevrolet,Silverado 1500,,2019,,Crew Cab,,,70.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S15-19P-795,Chevy Silverado 1500 Standard Tailgate (2019–present),Chevrolet,Silverado 1500,,2019,,,,,79.5,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S15-19P-RC-98,Chevy Silverado 1500 LD (Std Cab Only) (2019–present),Chevrolet,Silverado 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S25-20P-82-MF,Chevy Silverado 2500 HD MultiFlex Tailgate (2020–present),Chevrolet,Silverado 2500,,2020,,,,,82.0,,,,,,,,,,,none,,,MultiFlex,,data/sources/atc_2022-04.pdf
CHEV-S25-20P-CC-98-MF,Chevy Silverado 2500 HD MultiFlex Crew Cab (2020–present),Chevrolet,Silverado 2500,,2020,,Crew Cab,,,98.0,,,,,,,,,,,none,,,MultiFlex,,data/sources/atc_2022-04.pdf
GMC-SRA-19P-70-MP,GMC Sierra 1500 MultiPro Tai lgate (2019–present),GMC,Sierra 1500,,2019,,,,,70.0,,,,,,,,,,,none,,,MultiPro,,data/sources/atc_2022-04.pdf
GMC-SRA-19P-795-MP,GMC Sierra 1500 MultiPro Tai lgate (2019–present),GMC,Sierra 1500,,2019,,,,,79.5,,,,,,,,,,,none,,,MultiPro,,data/sources/atc_2022-04.pdf
GMC-SRA-19P-RC-98-MP,GMC Sierra MultiPro Tailgate (Reg Cab Only) (2019–present),GMC,Sierra 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,,MultiPro,,data/sources/atc_2022-04.pdf
GMC-SRA25-20P-82,GMC Sierra 2500 HD MultiP ro Tailgate (2020–present),GMC,Sierra 2500,,2020,,,,,82.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
GMC-SRA25-20P-98-MP,GMC Sierra 2500 HD MultiPro Tailgate (2020–present),GMC,Sierra 2500,,2020,,,,,98.0,,,,,,,,,,,none,,,MultiPro,,data/sources/atc_2022-04.pdf
CHEV-S15-14-18-82,Silverado / Sierra (2019 HD 2500) (2014–2018),Chevrolet,Silverado 1500,,2014,2018,,,,82.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S15-07-13-72,Chevy Silverado (2007–2013),Chevrolet,Silverado 1500,,2007,2013,,,,72.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S25-07-14-82,Chevy 2500 HD C rew (2014 HD 2500) (2007–2014),Chevrolet,Silverado 2500,,2007,2014,,,,82.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
GMC-SRA-07-13-72,GMC Sierra (2007–2013),GMC,Sierra 1500,,2007,2013,,,,72.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
GMC-SRA25-07-14-82,GMC 2500 H D Crew (2014 HD 2500) (2007–2014),GMC,Sierra 2500,,2007,2014,,,,82.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S15-04-06-CC-SSBCC,"Chev/GMC 5' 8"" Crew Cab (2004–2006)",Chevrolet,Silverado 1500,,2004,2006,Crew Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-S15-99-06-LONGBE,Chev/GMC LB/LBXC (1999–2006),Chevrolet,Silverado 1500,,1999,2006,,,,,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-COL-15P-79,Chev/GMC Colorado /Canyon (2015–present),Chevrolet,Colorado,,2015,,,,,79.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
CHEV-CAN-04-14-6,Chev/GMC Color ado/Canyon Crew (2004–2014),Chevrolet,Canyon,,2004,2014,,,,72.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
RAM-R15-19P-67,"Dodge SB 67"" Crew w /o 3rd Brake Light Camera (2019–present)",Ram,1500,,2019,,,,,67.0,,,,,,,,,,,none,,,Standard,,data/sources/atc_2022-04.pdf
