topper_brand,topper_model_series,topper_production_year_start,topper_production_year_end,fits_platform_id,confidence,fit_type,wrap_type,fit_notes,mounting_clamp_type,required_modifications,source_urls,verified_by,source_effective_date,has_custom_fit,has_skirted_sides,door_type,clamp_type_required,bed_size_class,model_id_alias,camera_compatible
ATC,Classic,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,Express,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LED/LTD,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,WorkForce,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LER,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LEX,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LHR,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LHR-XD,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,Classic,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,Express,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LED/LTD,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,WorkForce,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LER,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LEX,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
ATC,LHR,,,CHEV-S15-19P-795,100,OEM,W,,,,data/sources/atc_2022-04.pdf,manufacturer,2022-04-01,,,,,,,
