platform_id,make,model_family,cab_style,nickname,bed_length_floor_inches,production_year_start,production_year_end,stake_pockets_present,cab_camera_present
leer_56ff21,Ford,F-150,,"Ford F-150 56"" (2022–2025)",56.0,2021,2025,,
leer_66ff21,Ford,F-150,,"Ford F-150 66"" (2021–2025)",66.0,2021,2025,,
leer_80ff21,Ford,F-150,,"Ford F-150 80"" (2021–2025)",80.0,2021,2025,,
leer_56ff21m,Ford,F-150,,"Ford F-150 56"" (2024–2025)",56.0,2024,2025,,
leer_66ff21m,Ford,F-150,,"Ford F-150 66"" (2024–2025)",66.0,2024,2025,,
leer_80ff21m,Ford,F-150,,"Ford F-150 80"" (2024–2025)",80.0,2024,2025,,
leer_56frpt17,Ford,Ranger,,"Ford Ranger 56"" (2017–2020)",56.0,2017,2020,,
leer_56ff15,Ford,F-150,,"Ford F-150 56"" (2015–2020)",56.0,2015,2020,,
leer_66ff15,Ford,F-150,,"Ford F-150 66"" (2015–2020)",66.0,2015,2020,,
leer_80ff15,Ford,F-150,,"Ford F-150 80"" (2015–2020)",80.0,2015,2020,,
leer_56ff09,Ford,F-150,,"Ford F-150 56"" (2009–2014)",56.0,2009,2014,,
leer_66ff09,Ford,F-150,,"Ford F-150 66"" (2009–2014)",66.0,2009,2014,,
leer_80ff09,Ford,F-150,,"Ford F-150 80"" (2009–2014)",80.0,2009,2014,,
leer_55ff,Ford,F-150,,"Ford F-150 55"" (2004–2008)",55.0,2004,2008,,
leer_65ff,Ford,F-150,,"Ford F-150 65"" (2004–2008)",65.0,2004,2008,,
leer_8ff,Ford,F-150,,Ford F-150 (2004–2008),79.0,2004,2008,,
leer_69fs23,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 69"" (2023–2025)",69.0,2023,2025,,
leer_80fs23,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 80"" (2023–2025)",80.0,2023,2025,,
leer_69fs17,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 69"" (2017–2022)",69.0,2017,2022,,
leer_80fs17,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 80"" (2017–2022)",80.0,2017,2022,,
leer_8fsd,Ford,F-250 Super Duty,,Ford F-250 Super Duty (2008–2016),80.0,2008,2016,,
leer_65fsd,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 65"" (2008–2016)",65.0,2008,2016,,
leer_8fsds,Ford,F-250 Super Duty,,Ford F-250 Super Duty (2008–2016),80.0,2008,2016,,
leer_65fsds,Ford,F-250 Super Duty,,"Ford F-250 Super Duty 65"" (2008–2016)",65.0,2008,2016,,
leer_4afr24,Ford,Ranger,,Ford Ranger (2024–2025),61.0,2024,2025,,
leer_4afr19,Ford,Ranger,,Ford Ranger (2019–2023),61.0,2019,2023,,
leer_5afr19,Ford,Ranger,,Ford Ranger (2019–2023),61.0,2019,2023,,
leer_56fst,Ford,F-150,,"Ford F-150 56"" (2007–2010)",56.0,2007,2010,,
leer_75r,Ford,Ranger,,"Ford Ranger 75"" (1993–2012)",75.0,1993,2012,,
leer_45fm22,Ford,Maverick,,"Ford Maverick 45"" (2022–2025)",45.0,2022,2025,,
leer_64dr19_h,Ram,1500,,"Ram 1500 64"" (2019–2025)",64.0,2019,2025,,
leer_64dr19_d,Ram,1500,,"Ram 1500 64"" (2019–2025)",64.0,2019,2025,,
leer_80dr19_h,Ram,1500,,"Ram 1500 80"" (2019–2025)",80.0,2019,2025,,
leer_80dr19_d,Ram,1500,,"Ram 1500 80"" (2019–2025)",80.0,2019,2025,,
leer_57dr19,Ram,1500,,"Ram 1500 57"" (2025–2025)",57.0,2019,2025,,
leer_64dr19,Ram,1500,,"Ram 1500 64"" (2025–2025)",64.0,2025,2025,,
leer_80dr10,Ram,1500,,"Ram 1500 80"" (2010–2018)",80.0,2010,2018,,
leer_80dr10_d,Ram,1500,,"Ram 1500 80"" (2010–2018)",80.0,2010,2018,,
