platform_id,manufacturer,manufacturer_code,source_effective_date
leer_56ff21,LEER,56FF21,2025-01-24
leer_66ff21,LEER,66FF21,2025-01-24
leer_80ff21,LEER,80FF21,2025-01-24
leer_56ff21m,LEER,56FF21M,2025-01-24
leer_66ff21m,LEER,66FF21M,2025-01-24
leer_80ff21m,LEER,80FF21M,2025-01-24
leer_56frpt17,LEER,56FRPT17,2025-01-24
leer_56frpt17,LEER,56FF15,2025-01-24
leer_56ff15,LEER,56FF15,2025-01-24
leer_66ff15,LEER,66FF15,2025-01-24
leer_80ff15,LEER,80FF15,2025-01-24
leer_56ff09,LEER,56FF09,2025-01-24
leer_66ff09,LEER,66FF09,2025-01-24
leer_80ff09,LEER,80FF09,2025-01-24
leer_55ff,LEER,55FF,2025-01-24
leer_65ff,LEER,65FF,2025-01-24
leer_8ff,LEER,8FF,2025-01-24
leer_69fs23,LEER,69FS23,2025-01-24
leer_80fs23,LEER,80FS23,2025-01-24
leer_69fs17,LEER,69FS17,2025-01-24
leer_80fs17,LEER,80FS17,2025-01-24
leer_8fsd,LEER,8FSD,2025-01-24
leer_65fsd,LEER,65FSD,2025-01-24
leer_8fsds,LEER,8FSDS,2025-01-24
leer_65fsds,LEER,65FSDS,2025-01-24
leer_4afr24,LEER,4AFR24,2025-01-24
leer_4afr19,LEER,4AFR19,2025-01-24
leer_5afr19,LEER,5AFR19,2025-01-24
leer_56fst,LEER,56FST,2025-01-24
leer_75r,LEER,75R,2025-01-24
leer_45fm22,LEER,45FM22,2025-01-24
leer_64dr19_h,LEER,64DR19-H,2025-01-24
leer_64dr19_h,LEER,64DR09,2025-01-24
leer_64dr19_h,LEER,64DRQC09,2025-01-24
leer_64dr19_d,LEER,64DR19-D,2025-01-24
leer_64dr19_d,LEER,64DR09-D,2025-01-24
leer_64dr19_d,LEER,64DR19-H,2025-01-24
leer_80dr19_h,LEER,80DR19-H,2025-01-24
leer_80dr19_d,LEER,80DR19-D,2025-01-24
leer_57dr19,LEER,57DR19,2025-01-24
leer_64dr19,LEER,64DR19,2025-01-24
leer_80dr10,LEER,80DR10,2025-01-24
leer_80dr10_d,LEER,80DR10-D,2025-01-24
