fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_56ff21,LEER,100XQ,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,100XQ_SPORT,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,180XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21,LEER,700,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,100XQ,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,180XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,122,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,750_SPORT,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21,LEER,700,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100XQ,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100XQ_SPORT,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100XL,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100XR,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100R,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,100S,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,180,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,180XL,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff21m,LEER,180XR,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,100XQ,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,100XL,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,100XR,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,100R,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,100S,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,180,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,180XL,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,180XR,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff21m,LEER,122,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff21m,LEER,100XL,OEM,X,False,,S,SF,,True,,,100,manufacturer,2025-01-24,,
