year,make,model,cab_style,bed_length_label,platform_id
2021,Ford,F-150,,"56""",leer_56ff21
2022,Ford,F-150,,"56""",leer_56ff21
2023,Ford,F-150,,"56""",leer_56ff21
2024,Ford,F-150,,"56""",leer_56ff21
2025,Ford,F-150,,"56""",leer_56ff21
2021,Ford,F-150,,"66""",leer_66ff21
2022,Ford,F-150,,"66""",leer_66ff21
2023,Ford,F-150,,"66""",leer_66ff21
2024,Ford,F-150,,"66""",leer_66ff21
2025,Ford,F-150,,"66""",leer_66ff21
2021,Ford,F-150,,"80""",leer_80ff21
2022,Ford,F-150,,"80""",leer_80ff21
2023,Ford,F-150,,"80""",leer_80ff21
2024,Ford,F-150,,"80""",leer_80ff21
2025,Ford,F-150,,"80""",leer_80ff21
2024,Ford,F-150,,"56""",leer_56ff21m
2025,Ford,F-150,,"56""",leer_56ff21m
2024,Ford,F-150,,"66""",leer_66ff21m
2025,Ford,F-150,,"66""",leer_66ff21m
2024,Ford,F-150,,"80""",leer_80ff21m
2025,Ford,F-150,,"80""",leer_80ff21m
2017,Ford,Ranger,,"56""",leer_56frpt17
2018,Ford,Ranger,,"56""",leer_56frpt17
2019,Ford,Ranger,,"56""",leer_56frpt17
2020,Ford,Ranger,,"56""",leer_56frpt17
2015,Ford,F-150,,"56""",leer_56ff15
2016,Ford,F-150,,"56""",leer_56ff15
2017,Ford,F-150,,"56""",leer_56ff15
2018,Ford,F-150,,"56""",leer_56ff15
2019,Ford,F-150,,"56""",leer_56ff15
2020,Ford,F-150,,"56""",leer_56ff15
2015,Ford,F-150,,"66""",leer_66ff15
2016,Ford,F-150,,"66""",leer_66ff15
2017,Ford,F-150,,"66""",leer_66ff15
2018,Ford,F-150,,"66""",leer_66ff15
2019,Ford,F-150,,"66""",leer_66ff15
2020,Ford,F-150,,"66""",leer_66ff15
2015,Ford,F-150,,"80""",leer_80ff15
2016,Ford,F-150,,"80""",leer_80ff15
2017,Ford,F-150,,"80""",leer_80ff15
2018,Ford,F-150,,"80""",leer_80ff15
2019,Ford,F-150,,"80""",leer_80ff15
2020,Ford,F-150,,"80""",leer_80ff15
2009,Ford,F-150,,"56""",leer_56ff09
2010,Ford,F-150,,"56""",leer_56ff09
2011,Ford,F-150,,"56""",leer_56ff09
2012,Ford,F-150,,"56""",leer_56ff09
2013,Ford,F-150,,"56""",leer_56ff09
2014,Ford,F-150,,"56""",leer_56ff09
2009,Ford,F-150,,"66""",leer_66ff09
2010,Ford,F-150,,"66""",leer_66ff09
2011,Ford,F-150,,"66""",leer_66ff09
2012,Ford,F-150,,"66""",leer_66ff09
2013,Ford,F-150,,"66""",leer_66ff09
2014,Ford,F-150,,"66""",leer_66ff09
2009,Ford,F-150,,"80""",leer_80ff09
2010,Ford,F-150,,"80""",leer_80ff09
2011,Ford,F-150,,"80""",leer_80ff09
2012,Ford,F-150,,"80""",leer_80ff09
2013,Ford,F-150,,"80""",leer_80ff09
2014,Ford,F-150,,"80""",leer_80ff09
2004,Ford,F-150,,"55""",leer_55ff
2005,Ford,F-150,,"55""",leer_55ff
2006,Ford,F-150,,"55""",leer_55ff
2007,Ford,F-150,,"55""",leer_55ff
2008,Ford,F-150,,"55""",leer_55ff
2004,Ford,F-150,,"65""",leer_65ff
2005,Ford,F-150,,"65""",leer_65ff
2006,Ford,F-150,,"65""",leer_65ff
2007,Ford,F-150,,"65""",leer_65ff
2008,Ford,F-150,,"65""",leer_65ff
2004,Ford,F-150,,"79""",leer_8ff
2005,Ford,F-150,,"79""",leer_8ff
2006,Ford,F-150,,"79""",leer_8ff
2007,Ford,F-150,,"79""",leer_8ff
2008,Ford,F-150,,"79""",leer_8ff
2023,Ford,F-250 Super Duty,,"69""",leer_69fs23
2024,Ford,F-250 Super Duty,,"69""",leer_69fs23
2025,Ford,F-250 Super Duty,,"69""",leer_69fs23
2023,Ford,F-250 Super Duty,,"80""",leer_80fs23
2024,Ford,F-250 Super Duty,,"80""",leer_80fs23
2025,Ford,F-250 Super Duty,,"80""",leer_80fs23
2017,Ford,F-250 Super Duty,,"69""",leer_69fs17
2018,Ford,F-250 Super Duty,,"69""",leer_69fs17
2019,Ford,F-250 Super Duty,,"69""",leer_69fs17
2020,Ford,F-250 Super Duty,,"69""",leer_69fs17
2021,Ford,F-250 Super Duty,,"69""",leer_69fs17
2022,Ford,F-250 Super Duty,,"69""",leer_69fs17
2017,Ford,F-250 Super Duty,,"80""",leer_80fs17
2018,Ford,F-250 Super Duty,,"80""",leer_80fs17
2019,Ford,F-250 Super Duty,,"80""",leer_80fs17
2020,Ford,F-250 Super Duty,,"80""",leer_80fs17
2021,Ford,F-250 Super Duty,,"80""",leer_80fs17
2022,Ford,F-250 Super Duty,,"80""",leer_80fs17
2008,Ford,F-250 Super Duty,,"80""",leer_8fsd
2009,Ford,F-250 Super Duty,,"80""",leer_8fsd
2010,Ford,F-250 Super Duty,,"80""",leer_8fsd
2011,Ford,F-250 Super Duty,,"80""",leer_8fsd
2012,Ford,F-250 Super Duty,,"80""",leer_8fsd
2013,Ford,F-250 Super Duty,,"80""",leer_8fsd
2014,Ford,F-250 Super Duty,,"80""",leer_8fsd
