platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
CHEV-SEV-24P,Silverado EV Work Truck (2024–present),Chevrolet,Silverado EV,,2024,,,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S15-19-24-XC-SHORTB,Silverado (CS) (2019–2024),Chevrolet,Silverado 1500,,2019,2024,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S15-19-24-DC-VBED,Silverado (CS) (2019–2024),Chevrolet,Silverado 1500,,2019,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S15-19-24-RC-LONGBE,Silverado (CS) (2019–2024),Chevrolet,Silverado 1500,,2019,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S25-20-24-CC-SHORTB,Silverado HD (CH) (2020–2024),Chevrolet,Silverado 2500,,2020,2024,Crew Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S25-20-24-RC-SHORTB,Silverado HD (CH) (2020–2024),Chevrolet,Silverado 2500,,2020,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S25-20-24-RC-LONGBE,Silverado HD (CH) (2020–2024),Chevrolet,Silverado 2500,,2020,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S25-20-24-DC-SHORTB,Silverado HD (CH) w/Multi-Flex TG (2020–2024),Chevrolet,Silverado 2500,,2020,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S15-14-18-RC-SHORTB,Silverado (C4) (2014–2018),Chevrolet,Silverado 1500,,2014,2018,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
CHEV-S15-14-18-DC-VBED,Silverado (C4) (2014–2018),Chevrolet,Silverado 1500,,2014,2018,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
