platform_id,manufacturer,manufacturer_code,code_type,source_pdf,notes
CHEV-SEV-24P,SnugPro,5BGS24-B,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-XC-SHORTB,SnugPro,66GSO19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-DC-VBED,SnugPro,58GSO19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-RC-LONGBE,SnugPro,80GSO19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-XC-SHORTB,SnugPro,66GSO19M,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-DC-VBED,SnugPro,58GSO19M,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-DC-VBED,SnugPro,58GS19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-XC-SHORTB,SnugPro,66GS19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-19-24-RC-LONGBE,SnugPro,80GS19,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-CC-SHORTB,SnugPro,67GO20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-SHORTB,SnugPro,67GO20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-LONGBE,SnugPro,80GO20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-LONGBE,SnugPro,80GO20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-DC-SHORTB,SnugPro,67GO20-HM,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-DC-SHORTB,SnugPro,67GO20-HM,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-LONGBE,SnugPro,80GO20-HM,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-LONGBE,SnugPro,80GO20-HM,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-DC-SHORTB,SnugPro,67GS20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S25-20-24-RC-LONGBE,SnugPro,80GS20-H,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-14-18-RC-SHORTB,SnugPro,66GS14,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-14-18-DC-VBED,SnugPro,58GS14,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-S15-14-18-RC-LONGBE,SnugPro,80GS14,model_id,data/sources/snugpro_2025-03-07.pdf,
