year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2024,Chevrolet,Silverado EV,,,,CHEV-SEV-24P,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2025,Chevrolet,Silverado EV,,,,CHEV-SEV-24P,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 1500,,Extended Cab,Short Bed,CHEV-S15-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 2500,,Crew Cab,Short Bed,CHEV-S25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 2500,,Crew Cab,Short Bed,CHEV-S25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 2500,,Crew Cab,Short Bed,CHEV-S25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 2500,,Crew Cab,Short Bed,CHEV-S25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 2500,,Crew Cab,Short Bed,CHEV-S25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 2500,,Regular Cab,Short Bed,CHEV-S25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 2500,,Regular Cab,Short Bed,CHEV-S25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 2500,,Regular Cab,Short Bed,CHEV-S25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 2500,,Regular Cab,Short Bed,CHEV-S25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 2500,,Regular Cab,Short Bed,CHEV-S25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 2500,,Regular Cab,Long Bed,CHEV-S25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 2500,,Regular Cab,Long Bed,CHEV-S25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 2500,,Regular Cab,Long Bed,CHEV-S25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 2500,,Regular Cab,Long Bed,CHEV-S25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 2500,,Regular Cab,Long Bed,CHEV-S25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,Chevrolet,Silverado 2500,,Double Cab,Short Bed,CHEV-S25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,Chevrolet,Silverado 2500,,Double Cab,Short Bed,CHEV-S25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,Chevrolet,Silverado 2500,,Double Cab,Short Bed,CHEV-S25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,Chevrolet,Silverado 2500,,Double Cab,Short Bed,CHEV-S25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,Chevrolet,Silverado 2500,,Double Cab,Short Bed,CHEV-S25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2014,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2015,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2016,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2017,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2018,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2014,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-14-18-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2015,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-14-18-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2016,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-14-18-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2017,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-14-18-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2018,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-14-18-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2014,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-14-18-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2015,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-14-18-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2016,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-14-18-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2017,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-14-18-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2018,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-14-18-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2007,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2008,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2009,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2010,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2011,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2012,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2013,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-07-13-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2007,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2008,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2009,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2010,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2011,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2012,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2013,Chevrolet,Silverado 1500,,Regular Cab,Short Bed,CHEV-S15-07-13-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2007,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2008,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2009,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2010,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2011,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2012,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2013,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-07-13-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2007,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2008,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2009,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2010,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2011,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2012,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2013,Chevrolet,Silverado 1500,,Regular Cab,Long Bed,CHEV-S15-07-13-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2007,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2008,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2009,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2010,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2011,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2012,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2013,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-07-13-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-04-06-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-04-06-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Double Cab,V-Bed,CHEV-S15-04-06-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2001,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2002,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2003,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Double Cab,Short Bed,CHEV-S15-01-06-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
1999,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2000,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2001,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2002,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2003,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2004,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2005,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2006,Chevrolet,Silverado 1500,,Double Cab,Long Bed,CHEV-S15-99-06-DC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
