platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
CHEV-S15-19P-CC-70,Chevy Silverado (2019–present),Chevrolet,Silverado 1500,,2019,,Crew Cab,,,70.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S15-19P-CC-70-MF,Chevy Silverado MultiFlex Tailgate (2019–present),Chevrolet,Silverado 1500,,2019,,Crew Cab,,,70.0,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
CHEV-S15-19P-795,Chevy Silverado (2019–present),Chevrolet,Silverado 1500,,2019,,,,,79.5,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S15-19P-795-MF,Chevy Silverado MultiFlex Tailgate (2019–present),Chevrolet,Silverado 1500,,2019,,,,,79.5,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
CHEV-S15-19P-RC-98,Chevy Silverado 1500 Reg. Cab (2019–present),Chevrolet,Silverado 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S15-19P-RC-98-MF,Chevy Silverado 1500 MultiFlex Reg. Cab (2019–present),Chevrolet,Silverado 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-82,Chevy Silverado 2500 HD (2020–present),Chevrolet,Silverado 2500,,2020,,,,,82.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-82-MF,Chevy Silverado 2500 HD MultiFlex Tailgate (2020–present),Chevrolet,Silverado 2500,,2020,,,,,82.0,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-RC-98,Chevy Silverado 2500 HD Reg. Cab (2020–present),Chevrolet,Silverado 2500,,2020,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-RC-98-MF,Chevy Silverado 2500 HD MultiFlex Reg. Cab (2020–present),Chevrolet,Silverado 2500,,2020,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-CC-98,Chevy Silverado 2500 HD EXT/CC (2020–present),Chevrolet,Silverado 2500,,2020,,Crew Cab,,,98.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
CHEV-S25-20P-CC-98-MF,Chevy Silverado 2500 HD MultiFlex EXT/CC (2020–present),Chevrolet,Silverado 2500,,2020,,Crew Cab,,,98.0,,,,,,,,,,,none,,False,MultiFlex,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-70,GMC Sierra Std. Tailgate (2019–present),GMC,Sierra 1500,,2019,,,,,70.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-70-MP,GMC Sierra MultiPro Tailgate (2019–present),GMC,Sierra 1500,,2019,,,,,70.0,,,,,,,,,,,none,,False,MultiPro,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-795,GMC Sierra Std. Tailgate (2019–present),GMC,Sierra 1500,,2019,,,,,79.5,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-795-MP,GMC Sierra MultiPro Tailgate (2019–present),GMC,Sierra 1500,,2019,,,,,79.5,,,,,,,,,,,none,,False,MultiPro,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-RC-98,GMC Sierra Std. Tailgate Reg. Cab (2019–present),GMC,Sierra 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
GMC-SRA-19P-RC-98-MP,GMC Sierra MultiPro Tailgate Reg. Cab (2019–present),GMC,Sierra 1500,,2019,,Regular Cab,,,98.0,,,,,,,,,,,none,,False,MultiPro,,data/sources/ranch_fitment_guide.pdf
GMC-SRA25-20P-82,GMC Sierra 2500 HD Std. Tailgate (2020–present),GMC,Sierra 2500,,2020,,,,,82.0,,,,,,,,,,,none,,False,Standard,,data/sources/ranch_fitment_guide.pdf
