topper_brand,topper_model_series,topper_production_year_start,topper_production_year_end,fits_platform_id,confidence,fit_type,wrap_type,fit_notes,mounting_clamp_type,required_modifications,source_urls,verified_by
Ranch,Legacy,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Echo,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Sierra/Xtra,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,WorkForce,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Fusion,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,ICON,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Skyline,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,XD,,,CHEV-S15-19P-CC-70,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Echo,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Sierra/Xtra,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,WorkForce,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Fusion,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,ICON,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,Skyline,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
Ranch,XD,,,CHEV-S15-19P-CC-70-MF,100,OEM,W,,,,data/sources/ranch_fitment_guide.pdf,manufacturer
